*Code,*Name,*Type,*Tax Code,Description,Dashboard,Expense Claims,Enable Payments,Balance
,Business Account,Bank,BAS Excluded,,No,No,No,
,BLOC,Bank,BAS Excluded,,No,No,No,
,GST Account Cocoa,Bank,BAS Excluded,,No,No,No,
123,Gas Charges,Expense,GST on Expenses,,Yes,Yes,Yes,
131,Kitchen Equipment,Expense,GST on Expenses,,No,No,No,
170,Accounting,Expense,GST on Expenses,,No,No,No,
171,BookKeeping,Expense,GST on Expenses,,No,No,No,
200,Sales,Revenue,GST on Income,Income from any normal business activity,No,No,No,
210,Opening Stock,Direct Costs,BAS Excluded,,No,No,No,
220,Closing Stock,Direct Costs,BAS Excluded,,No,No,No,
260,Other Revenue,Revenue,GST on Income,Any other income that does not relate to normal business activities and is not recurring,No,No,No,
265,Refunds,Other Income,GST on Income,,No,No,No,
270,Interest Income,Revenue,GST Free Income,Interest income,No,No,No,
300,Insurance Recoveries,Other Income,GST on Income,,No,No,No,
310,Cost of Goods Sold,Direct Costs,GST on Expenses,Cost of goods sold by the business,No,Yes,No,
321,Uniforms,Expense,GST on Expenses,,No,No,No,
330,Subcontractor Cost,Direct Costs,GST Free Expenses,,Yes,No,Yes,
383/001,Interest on BMW finance,Expense,BAS Excluded,,No,No,No,
400,Advertising,Expense,GST on Expenses,Expenses incurred for advertising while trying to increase sales,No,No,No,
404,Bank Fees,Expense,GST Free Expenses,Fees charged by your bank for transactions regarding your bank account(s).,No,No,No,
408,Cleaning,Expense,GST on Expenses,Expenses incurred for cleaning business property.,No,No,No,
412,Consulting & Accounting,Expense,GST on Expenses,Expenses related to paying consultants,No,No,No,
416,Depreciation,Expense,BAS Excluded,The amount of the asset's cost (based on the useful life) that was consumed during the period,No,No,No,
417,Depreciation - private,Depreciation,BAS Excluded,,No,No,No,
420,Entertainment,Expense,GST Free Expenses,Expenses paid by company for the business but are not deductable for income tax purposes.,No,No,No,
422,Filing Fees,Expense,GST Free Expenses,,No,No,No,
425,Freight & Courier,Expense,GST on Expenses,Expenses incurred on courier & freight costs,No,No,No,
429,General Expenses,Expense,GST on Expenses,General expenses related to the running of the business.,No,No,No,
433,Insurance,Expense,GST on Expenses,Expenses incurred for insuring the business' assets,No,No,No,
437,Interest Expense,Expense,GST Free Expenses,"Any interest expenses paid to ATO, business bank accounts or credit card accounts.",No,No,No,
441,Legal expenses,Expense,GST on Expenses,Expenses incurred on any legal matters,No,No,No,
443,Licence Fees,Expense,GST on Expenses,,No,No,No,
445,"Light, Power, Heating",Expense,GST on Expenses,"Expenses incurred for lighting, powering or heating the premises",No,No,No,
449,Motor Vehicle Expenses,Expense,GST on Expenses,Expenses incurred on the running of company motor vehicles,No,No,No,
453,Office Expenses,Expense,GST on Expenses,General expenses related to the running of the business office.,No,No,No,
460,Cleaning & Kitchen Supplies,Expense,GST on Expenses,,No,No,No,
461,Printing & Stationery,Expense,GST on Expenses,Expenses incurred by the entity as a result of printing and stationery,No,No,No,
469,Rent,Expense,GST on Expenses,The payment to lease a building or area.,No,No,No,
473,Repairs and Maintenance,Expense,GST on Expenses,Expenses incurred on a damaged or run down asset that will bring the asset back to its original condition.,No,No,No,
477,Wages and Salaries,Expense,BAS Excluded,Payment to employees in exchange for their resources,No,No,No,
478,Superannuation,Expense,BAS Excluded,Superannuation contributions,No,No,No,
479,Wages Deductions,Expense,BAS Excluded,"Taking money out of employee's pay, before it is paid to them. ",No,No,No,
480,Wages Allowance/Reimbursements,Expense,BAS Excluded,Additional pay for doing certain tasks or incurring expense for doing their job.,No,No,No,
485,Subscriptions,Expense,GST on Expenses,"E.g. Magazines, professional bodies.",No,No,No,
489,Telephone & Internet,Expense,GST on Expenses,"Expenditure incurred from any business-related phone calls, phone lines, or internet connections",No,No,No,
493,Travel - National,Expense,GST on Expenses,Expenses incurred from domestic travel which has a business purpose,No,No,No,
494,Travel - International,Expense,GST Free Expenses,Expenses incurred from international travel which has a business purpose,No,No,No,
497,Bank Revaluations,Bank Revaluations,BAS Excluded,Bank account revaluations due for foreign exchange rate changes,No,No,No,
498,Unrealised Currency Gains,Unrealised Currency Gains,BAS Excluded,Unrealised currency gains on outstanding items,No,No,No,
499,Realised Currency Gains,Realised Currency Gains,BAS Excluded,Gains or losses made due to currency exchange rate changes,No,No,No,
505,Income Tax Expense,Expense,BAS Excluded,A percentage of total earnings paid to the government.,No,No,No,
510,Sponsorship,Expense,GST on Expenses,,No,No,Yes,
600,Employee FBT Contribution,Other Income,GST on Income,,No,No,No,
601,Employee contribution - goods for own use,Other Income,GST on Income,,No,No,No,
605,Petty cash balance,Current Asset,BAS Excluded,,No,No,No,
610,Accounts Receivable,Accounts Receivable,BAS Excluded,Outstanding invoices the company has issued out to the client but has not yet received in cash at balance date.,No,No,No,
620,Prepayments,Current Asset,BAS Excluded,An expenditure that has been paid for in advance.,No,No,No,
640,Stock on Hand,Current Asset,BAS Excluded,,No,No,No,
650,Loss on sale of non-current assets,Other Income,BAS Excluded,,No,No,No,
693/002,Loans from directors~Loans to directors - 2023,Current Asset,BAS Excluded,,No,No,No,
