*ItemCode,ItemName,Quantity,PurchasesDescription,PurchasesUnitPrice,PurchasesAccount,PurchasesTaxRate,SalesDescription,SalesUnitPrice,SalesAccount,SalesTaxRate,InventoryAssetAccount,CostOfGoodsSoldAccount,Status,InventoryType
000,SDT STRIPS,,SDT STRIPS,23.00,310,GST Free Expenses,,,,,,,Active,Untracked
01,Bondi Shirts & Emroidery,,Bondi Shirts & Emroidery,46.30,321,GST on Expenses,,,,,,,Active,Untracked
100,Loose eggs 600g,,Loose eggs 600g,52.00,310,GST Free Expenses,,,,,,,Active,Untracked
10001,GreenPro Dishwash Det,,GreenPro Dishwash Det,99.95,408,GST on Expenses,,,,,,,Active,Untracked
1001,SHUCK OYSTERS,,,,,,SHUCK OYSTERS,288.00,260,GST on Income,,,Active,Untracked
100158,Hummingbird Cake,,Hummingbird Cake,35.99,310,GST on Expenses,,,,,,,Active,Untracked
10020,Rinse All,,Rinse All,102.36,408,GST on Expenses,,,,,,,Active,Untracked
10033D,Hand Soap,,Hand Soap,126.20,408,GST on Expenses,,,,,,,Active,Untracked
10167,MAPLE SYRUP,,MAPLE SYRUP,18.06,310,GST Free Expenses,,,,,,,Active,Untracked
10276,Degreaser,,Degreaser,41.2727,408,GST on Expenses,,,,,,,Active,Untracked
10279,Dose N Fill Sanitiser,,Dose N Fill Sanitiser,108.48,408,GST on Expenses,,,,,,,Active,Untracked
104614,SALMON,,SALMON,130.32,310,GST Free Expenses,,,,,,,Active,Untracked
104621,BBQ Sauce,,BBQ Sauce,10.36,310,GST Free Expenses,,,,,,,Active,Untracked
107532,GREASEPROOF PAPER,,GREASEPROOF PAPER,29.33,PACK,GST on Expenses,,,,,,,Active,Untracked
108226,Hash Browns Oval Edgell,,Hash Browns Oval Edgell,10.50,310,GST Free Expenses,,,,,,,Active,Untracked
108644,Flathead Flt,,Flathead Flt Beer Battered,54.28,310,GST on Expenses,,,,,,,Active,Untracked
109158,Muffin Wrap Parchment Carton,,Muffin Wrap Parchment Carton,52.83,310,GST on Expenses,,,,,,,Active,Untracked
110684,MILKSHAKE CUPS,,MILKSHAKE CUPS,4.67,PACK,GST on Expenses,,,,,,,Active,Untracked
110686,Milkshake Lids,,Milkshake Lids,3.75,PACK,GST on Expenses,,,,,,,Active,Untracked
112375,Dukkah,,Dukkah,25.80,310,GST Free Expenses,,,,,,,Active,Untracked
114511,Spring Rolls,,Spring Rolls,29.17,310,GST Free Expenses,,,,,,,Active,Untracked
115142,Sauce Cranberry,,Sauce Cranberry,20.07,310,GST Free Expenses,,,,,,,Active,Untracked
116157,Passionfruit Cheesecake,,Passinfruit CH,44.08,310,GST on Expenses,,,,,,,Active,Untracked
11831,Passionfruit Pulp,,Passionfruit Pulp,2.95,310,GST Free Expenses,,,,,,,Active,Untracked
123,GASFITTING,,GASFITTING,0.00,473,GST on Expenses,,,,,,,Active,Untracked
12428,CHOC BUTTONS,,CHOC BUTTONS,49.05,310,GST Free Expenses,,,,,,,Active,Untracked
12661,SALT 10KG,,SALT 10KG,6.78,460,GST Free Expenses,,,,,,,Active,Untracked
127,Roll Towel 80mx16,,Roll Towel 80mx16,43.64,408,GST on Expenses,,,,,,,Active,Untracked
128399,Squid Fillets Pineapple Cut,,Squid Fillets Pineapple Cut,54.43,310,GST Free Expenses,,,,,,,Active,Untracked
129723,Orange Juice,,Orange Juice,26.55,310,GST Free Expenses,,,,,,,Active,Untracked
129724,Apple Juice,,Apple Juice,26.55,310,GST Free Expenses,,,,,,,Active,Untracked
1310,Fitout Contribution,,,,,,,,,,,,Active,Untracked
1313,Fitout Contribution,,,,,,,,,,,,Active,Untracked
131899,Cocktail Napkins,,Cocktail Napkins,3.09,PACK,GST on Expenses,,,,,,,Active,Untracked
132460,GLUTEN FREE FLOUR,,GLUTEN FREE FLOUR,38.00,310,GST Free Expenses,,,,,,,Active,Untracked
135834,Mayonnaise Aioli,,Mayonnaise Aioli,7.62,310,GST Free Expenses,,,,,,,Active,Untracked
137252,Hommus Squeeze,,Hommus Squeeze,10.26,310,GST Free Expenses,,,,,,,Active,Untracked
140722,Sparkling Water,,Sparkling Water,35.13,310,GST on Expenses,,,,,,,Active,Untracked
141694,Hazelnut Syrup,,Hazelnut Syrup,13.12,310,GST on Expenses,,,,,,,Active,Untracked
141695,Caramel Syrup,,Caramel Syrup,17.84,310,GST on Expenses,,,,,,,Active,Untracked
141697,Vanilla Syrup,,Vanilla Syrup,13.12,310,GST on Expenses,,,,,,,Active,Untracked
146092,Pulled Pork,,Pulled Pork,12.65,310,GST Free Expenses,,,,,,,Active,Untracked
146179,Strawberry Cheesecake P/C,,Strawberry Cheesecake P/C,21.04,310,GST on Expenses,,,,,,,Active,Untracked
146180,Citrus Tarts G/F PC,,Citrus Tarts G/F PC,19.82,310,GST on Expenses,,,,,,,Active,Untracked
146184,Red Velvet Slice,,Red Velvet Slice,53.10,310,GST on Expenses,,,,,,,Active,Untracked
14637,Stock Vegeta,,Stock Vegeta,13.17,310,GST Free Expenses,,,,,,,Active,Untracked
147560,FRY OIL,,FRY OIL,61.10,460,GST Free Expenses,,,,,,,Active,Untracked
150 Lashes,150 Lashes,,150 Lashes,22.99,310,GST on Expenses,,,,,,,Active,Untracked
150721,Gloves Medium,,Gloves Medium,5.90,408,GST on Expenses,,,,,,,Active,Untracked
151200,AIOLI,,AILOI,8.04,310,GST Free Expenses,,,,,,,Active,Untracked
151844,Tiramisu Slice,,Tiramisu Slice,39.88,310,GST on Expenses,,,,,,,Active,Untracked
152311,Mussels Half Shell,,Mussels Half Shell,16.46,310,GST Free Expenses,,,,,,,Active,Untracked
156647,Tortilla Wraps,,Tortilla Wraps,4.07,310,GST Free Expenses,,,,,,,Active,Untracked
156753,perch,,perch,95.11,310,GST Free Expenses,,,,,,,Active,Untracked
156763,Spring Rolls Peking Duck,,Spring Rolls Peking Duck,13.58,310,GST Free Expenses,,,,,,,Active,Untracked
158638,Sweet Chilli Sauce,,Sauce Sweet Chilli Gluten Free,14.64,310,GST on Expenses,,,,,,,Active,Untracked
159631,cream cheese,,cream cheese,11.85,310,GST Free Expenses,,,,,,,Active,Untracked
159698,Relish Tomato,,Relish Tomato,26.72,310,GST Free Expenses,,,,,,,Active,Untracked
159833,BRISKET,,BRISKET,14.01,310,GST Free Expenses,,,,,,,Active,Untracked
159917,roasted peppers,,roasted peppers,14.45,310,GST Free Expenses,,,,,,,Active,Untracked
160278,Teriyaki Sauce Thick,,Teriyaki Sauce Thick,21.25,310,GST Free Expenses,,,,,,,Active,Untracked
160650,Danish Fetta,,Danish Fetta,15.99,310,GST Free Expenses,,,,,,,Active,Untracked
